,values,eff,size,lowerCI_95%,upperCI_95%,feature
0,0.001,-0.0154152665,229,,,Model__learning_rate
1,0.01,-0.010629402900000001,526,-0.010629402900000001,-0.010629402900000001,Model__learning_rate
2,0.1,0.0372292325,245,0.0372292325,0.0372292325,Model__learning_rate
0,2.0,-0.0041482038,67,,,Model__max_depth
1,3.0,-0.0031035793,118,-0.0031035793,-0.0031035793,Model__max_depth
2,4.0,-0.0020589548000000003,138,-0.0020589548000000003,-0.0020589548000000003,Model__max_depth
3,5.0,-0.0010143304,107,-0.0010143304,-0.0010143304,Model__max_depth
4,6.0,3.0294100000000002e-05,135,3.0294100000000002e-05,3.0294100000000002e-05,Model__max_depth
5,7.0,0.0010749186,122,0.0010749186,0.0010749186,Model__max_depth
6,8.0,0.0021195431000000002,139,0.0021195431000000002,0.0021195431000000002,Model__max_depth
7,9.0,0.0031641675,120,0.0031641675,0.0031641675,Model__max_depth
8,10.0,0.004208792,54,0.004208792,0.004208792,Model__max_depth
0,1.0,-1.72305e-05,255,,,Model__min_child_weight
1,2.0,2.98e-07,507,2.98e-07,2.98e-07,Model__min_child_weight
2,3.0,1.78265e-05,238,1.78265e-05,1.78265e-05,Model__min_child_weight
0,25.0,-0.009429172500000001,0,,,Model__n_estimators
1,26.0,-0.0091832016,24,-0.0091832016,-0.0091832016,Model__n_estimators
2,28.0,-0.0086912597,23,-0.0086912597,-0.0086912597,Model__n_estimators
3,29.0,-0.0084452888,18,-0.0084452888,-0.0084452888,Model__n_estimators
4,31.0,-0.0079533469,24,-0.0079533469,-0.0079533469,Model__n_estimators
5,33.0,-0.0074614051,19,-0.0074614051,-0.0074614051,Model__n_estimators
6,34.0,-0.0072154341,14,-0.0072154341,-0.0072154341,Model__n_estimators
7,37.0,-0.0064775214,27,-0.0064775214,-0.0064775214,Model__n_estimators
8,39.0,-0.0059855795,24,-0.0059855795,-0.0059855795,Model__n_estimators
9,40.0,-0.0057396086,14,-0.0057396086,-0.0057396086,Model__n_estimators
10,42.0,-0.0052476667000000005,23,-0.0052476667000000005,-0.0052476667000000005,Model__n_estimators
11,43.0,-0.0050016958,12,-0.0050016958,-0.0050016958,Model__n_estimators
12,45.0,-0.004509754,23,-0.004509754,-0.004509754,Model__n_estimators
13,47.0,-0.0040178121,19,-0.0040178121,-0.0040178121,Model__n_estimators
14,49.0,-0.0035258702,27,-0.0035258702,-0.0035258702,Model__n_estimators
15,51.0,-0.0030339284,14,-0.0030339284,-0.0030339284,Model__n_estimators
16,52.0,-0.0027879575,17,-0.0027879575,-0.0027879575,Model__n_estimators
17,54.0,-0.0022960156,20,-0.0022960156,-0.0022960156,Model__n_estimators
18,56.0,-0.0018040738,31,-0.0018040738,-0.0018040738,Model__n_estimators
19,57.0,-0.0015581028,21,-0.0015581028,-0.0015581028,Model__n_estimators
20,58.0,-0.0013121319,21,-0.0013121319,-0.0013121319,Model__n_estimators
21,59.0,-0.0010661610000000001,15,-0.0010661610000000001,-0.0010661610000000001,Model__n_estimators
22,60.0,-0.0008201901000000001,13,-0.0008201901000000001,-0.0008201901000000001,Model__n_estimators
23,61.0,-0.0005742191,20,-0.0005742191,-0.0005742191,Model__n_estimators
24,62.0,-0.0003282482,20,-0.0003282482,-0.0003282482,Model__n_estimators
25,63.0,-8.22773e-05,20,-8.22773e-05,-8.22773e-05,Model__n_estimators
26,65.0,0.0004096646,29,0.0004096646,0.0004096646,Model__n_estimators
27,66.0,0.0006556355000000001,10,0.0006556355000000001,0.0006556355000000001,Model__n_estimators
28,68.0,0.0011475774,22,0.0011475774,0.0011475774,Model__n_estimators
29,70.0,0.0016395192000000002,19,0.0016395192000000002,0.0016395192000000002,Model__n_estimators
30,72.0,0.0021314611,27,0.0021314611,0.0021314611,Model__n_estimators
31,73.0,0.002377432,10,0.002377432,0.002377432,Model__n_estimators
32,75.0,0.0028693738,30,0.0028693738,0.0028693738,Model__n_estimators
33,76.0,0.0031153448,18,0.0031153448,0.0031153448,Model__n_estimators
34,77.0,0.0033613157,13,0.0033613157,0.0033613157,Model__n_estimators
35,79.0,0.0038532576000000003,29,0.0038532576000000003,0.0038532576000000003,Model__n_estimators
36,80.0,0.0040992285000000005,15,0.0040992285000000005,0.0040992285000000005,Model__n_estimators
37,81.0,0.0043451994,18,0.0043451994,0.0043451994,Model__n_estimators
38,83.0,0.0048371413,28,0.0048371413,0.0048371413,Model__n_estimators
39,84.0,0.0050831122,10,0.0050831122,0.0050831122,Model__n_estimators
40,86.0,0.005575054,25,0.005575054,0.005575054,Model__n_estimators
41,87.0,0.0058210250000000005,17,0.0058210250000000005,0.0058210250000000005,Model__n_estimators
42,89.0,0.0063129668,27,0.0063129668,0.0063129668,Model__n_estimators
43,90.0,0.006558937700000001,11,0.006558937700000001,0.006558937700000001,Model__n_estimators
44,92.0,0.0070508796000000006,29,0.0070508796000000006,0.0070508796000000006,Model__n_estimators
45,93.0,0.0072968505,20,0.0072968505,0.0072968505,Model__n_estimators
46,94.0,0.0075428215000000005,13,0.0075428215000000005,0.0075428215000000005,Model__n_estimators
47,96.0,0.0080347633,26,0.0080347633,0.0080347633,Model__n_estimators
48,97.0,0.0082807342,17,0.0082807342,0.0082807342,Model__n_estimators
49,98.0,0.0085267052,17,0.0085267052,0.0085267052,Model__n_estimators
50,100.0,0.009018647000000001,17,0.009018647000000001,0.009018647000000001,Model__n_estimators
0,MinMaxScaler(),4.4302e-06,238,,,preprocessor__num__scaler
1,StandardScaler(),-1.3837e-06,257,-1.3837e-06,-1.3837e-06,preprocessor__num__scaler
2,RobustScaler(),-1.3837e-06,505,-1.3837e-06,-1.3837e-06,preprocessor__num__scaler
